 mbb ngoodjets MT2W Mlb_closestb mct mt_met_lep pfmet topness topnessMod mindphi_met_j1_j2 scale1fb ptbb ngoodjets weight
27 -9999.0 1 -9999.0 228.305038452 -9999.0 79.7514724731 192.511505127 -9999.0 -9999.0 -9999.0 0.00011194437684 -999.0 1 1.0
28 134.71144104 4 -9999.0 -9999.0 185.783493042 -9999.0 476.411315918 -9999.0 -9999.0 2.72306132317 0.00011194437684 -999.0 4 1.0
29 108.263137817 4 272.768096924 260.629364014 344.700500488 196.702224731 347.57598877 10.5810060501 -7.06610298157 2.57605910301 0.00011194437684 -999.0 4 1.0
30 688.514953613 2 477.839202881 93.4097137451 448.049072266 168.086502075 444.147705078 14.1522388458 12.0934514999 2.35218095779 0.00011194437684 -999.0 2 1.0
31 102.844245911 5 -9999.0 -9999.0 103.050598145 -9999.0 290.27746582 -9999.0 -9999.0 2.04578924179 0.00011194437684 -999.0 5 1.0
32 -9999.0 1 -9999.0 660.352905273 -9999.0 250.791213989 143.34866333 -9999.0 -9999.0 -9999.0 0.00011194437684 -999.0 1 1.0
33 -9999.0 1 -9999.0 129.711547852 -9999.0 119.015563965 437.190551758 -9999.0 -9999.0 -9999.0 0.00011194437684 -999.0 1 1.0
34 113.378089905 4 278.50958252 361.142303467 299.113677979 36.3414764404 202.882019043 11.2661485672 -10.2812185287 2.51441001892 0.00011194437684 -999.0 4 1.0
35 102.504417419 3 201.22442627 -9999.0 136.90222168 134.28477478 186.030975342 8.46025753021 -6.95081520081 2.40404987335 0.00011194437684 -999.0 3 1.0
36 123.222557068 3 -9999.0 -9999.0 363.814758301 -9999.0 430.83001709 -9999.0 -9999.0 2.15865254402 0.00011194437684 -999.0 3 1.0
37 134.473587036 6 -9999.0 -9999.0 588.385864258 -9999.0 551.786132812 -9999.0 -9999.0 2.85314488411 0.00011194437684 -999.0 6 1.0
38 487.874969482 2 -9999.0 -9999.0 265.65322876 -9999.0 543.161315918 -9999.0 -9999.0 1.21973514557 0.00011194437684 -999.0 2 1.0
39 115.42099762 2 322.427886963 121.677375793 195.110427856 283.544006348 342.217376709 11.8772974014 9.97869586945 2.53782105446 0.00011194437684 -999.0 2 1.0
40 119.155029297 5 -9999.0 -9999.0 349.887207031 -9999.0 426.927612305 -9999.0 -9999.0 2.63721632957 0.00011194437684 -999.0 5 1.0
41 88.5958175659 2 238.746887207 423.43347168 182.687011719 223.232116699 130.578552246 9.79314422607 -5.64074993134 2.16654849052 0.00011194437684 -999.0 2 1.0
42 140.664047241 2 -9999.0 -9999.0 277.623352051 -9999.0 347.911224365 -9999.0 -9999.0 2.55144405365 0.00011194437684 -999.0 2 1.0
43 455.831390381 5 231.689056396 81.8447189331 190.580459595 70.2320251465 215.940948486 9.96919155121 -6.60361242294 1.02425575256 0.00011194437684 -999.0 5 1.0
44 -9999.0 1 -9999.0 184.007003784 -9999.0 280.646514893 180.178039551 -9999.0 -9999.0 -9999.0 0.00011194437684 -999.0 1 1.0
45 342.00793457 3 -9999.0 -9999.0 303.574798584 -9999.0 283.057006836 -9999.0 -9999.0 2.25636053085 0.00011194437684 -999.0 3 1.0
